char,x,y,theta
a,0;2;2;4;1;3,0;4;4;0;2;2,
b,1;1,4;0,1;1;3;2;6;1;1;1;2;6
c,,,2;2;2;5;3
d,1;1,0;4,2;1;2;2;6
e,1;1;1;3;1;3;1;3,4;0;4;4;2;2;0;0,
f,1;1;1;3;1;3,4;0;4;4;2;2,
g,2;4,1;1,2;2;2;5;3
h,1;1;1;3;3;3;,4;0;2;2;4;0,
i,1;3;2;2;1;3,4;4;4;0;0;0,
j,1;3;2;2,4;4;4;1,1;1;1;0;4
k,1;1;3;1;1;3,4;0;4;2;2;0,
l,1;1;1;3,4;0;0;0,
m,0;1;1;2;2;3;3;4,0;4;4;2;2;4;4;0,
n,1;1;1;3;3;3,4;0;4;0;4;0,
o,,,2;2;2;0;0
p,1;1,0;4,1;1;3;2;6
q,3;4,1;0,2;2;2;0;0
r,1;1;1;2,0;4;2;0,1;1;3;2;6
s,,,1;2;3;4;2;1;2;1;0;6
t,1;3;2;2,4;4;4;0,
u,1;1;3;3,4;1;4;1,1;2;1;0;4
v,1;2;2;3,4;0;0;4,
w,0;1;1;2;2;3;3;4,4;0;0;2;2;0;0;4,
x,0;4;4;0,4;0;4;0,
y,1;2;2;2;3;2,4;2;2;0;4;2,
z,0;4;4;0;0;4,4;4;4;0;0;0,
